Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
         Novena ,"46,640","22,404","24,236","37,645","17,970","19,675","2,022",986,"1,036","4,189","2,142","2,047","2,784","1,306","1,478"
             Balestier ,"32,479","15,770","16,709","26,094","12,616","13,478","1,893",931,962,"3,179","1,633","1,546","1,313",590,723
             Dunearn ,"3,746","1,730","2,016","3,095","1,430","1,665",28,12,16,281,136,145,342,152,190
             Malcolm ,"2,690","1,227","1,463","2,200",986,"1,214",16,6,10,140,66,74,334,169,165
             Moulmein ,"7,072","3,360","3,712","5,766","2,699","3,067",81,34,47,534,280,254,691,347,344
         Outram ,"19,859","10,144","9,715","16,650","8,408","8,242","1,286",658,628,"1,434",838,596,489,240,249
             China Square ,"1,788",871,917,"1,728",846,882,12,6,6,29,13,16,19,6,13
             Chinatown ,"9,253","4,558","4,695","8,021","3,895","4,126",294,155,139,674,373,301,264,135,129
             Pearl's Hill ,"8,345","4,471","3,874","6,447","3,437","3,010",980,497,483,720,443,277,198,94,104
         Pasir Ris ,"133,863","66,493","67,370","90,031","44,380","45,651","27,227","13,616","13,611","11,061","5,768","5,293","5,544","2,729","2,815"
             Elias ,"36,305","18,019","18,286","24,672","12,175","12,497","7,216","3,597","3,619","3,005","1,549","1,456","1,412",698,714
             Loyang East ,"13,915","6,880","7,035","10,973","5,397","5,576",895,422,473,"1,269",666,603,778,395,383
             Pasir Ris Drive ,"61,489","30,609","30,880","38,106","18,783","19,323","15,878","8,019","7,859","5,047","2,621","2,426","2,458","1,186","1,272"
             Pasir Ris Park ,"1,294",644,650,994,493,501,106,41,65,89,48,41,105,62,43
             Pasir Ris Town ,"20,808","10,304","10,504","15,238","7,498","7,740","3,132","1,537","1,595","1,651",884,767,787,385,402
         Punggol ,"59,386","29,269","30,117","47,201","23,218","23,983","6,842","3,337","3,505","3,821","2,028","1,793","1,522",686,836
             Subzone 2 ,"1,544",757,787,"1,315",641,674,141,75,66,63,32,31,25,9,16
             Subzone 3 ,"6,665","3,281","3,384","5,264","2,587","2,677",825,407,418,423,218,205,153,69,84
             Subzone 4 ,"42,342","20,835","21,507","33,607","16,466","17,141","4,875","2,382","2,493","2,716","1,458","1,258","1,144",529,615
             Subzone 5 ,"8,583","4,272","4,311","6,809","3,421","3,388",999,473,526,590,305,285,185,73,112
         Queenstown ,"98,502","46,817","51,685","77,187","36,233","40,954","8,294","4,023","4,271","8,518","4,398","4,120","4,503","2,163","2,340"
             Commonwealth ,"8,726","4,102","4,624","6,527","3,002","3,525","1,095",537,558,750,394,356,354,169,185
             Dover ,"11,967","5,814","6,153","9,746","4,677","5,069",691,362,329,"1,048",545,503,482,230,252
             Ghim Moh ,"11,831","5,557","6,274","9,401","4,380","5,021","1,234",600,634,853,430,423,343,147,196
             Holland Drive ,"15,375","7,160","8,215","12,550","5,804","6,746","1,247",570,677,875,463,412,703,323,380
             Kent Ridge ,"1,334",652,682,785,376,409,25,12,13,227,122,105,297,142,155
             Margaret Drive ,"9,027","4,301","4,726","7,698","3,644","4,054",309,139,170,762,390,372,258,128,130
             Mei Chin ,"17,340","8,291","9,049","13,596","6,437","7,159","1,422",692,730,"1,805",917,888,517,245,272
             Pasir Panjang 1 ,"3,597","1,736","1,861","3,057","1,457","1,600",40,13,27,232,111,121,268,155,113
             Pasir Panjang 2 ,"3,480","1,696","1,784","2,823","1,361","1,462",75,36,39,228,126,102,354,173,181
             Tanglin Halt ,"14,375","6,846","7,529","10,085","4,699","5,386","2,128","1,051","1,077","1,544",800,744,618,296,322
         River Valley ,"8,206","3,730","4,476","5,819","2,588","3,231",62,22,40,"1,115",500,615,"1,210",620,590
             Institution Hill ,"2,695","1,236","1,459","1,972",879,"1,093",10,3,7,426,199,227,287,155,132
             Leonie Hill ,"2,274","1,053","1,221","1,388",643,745,19,8,11,471,200,271,396,202,194
             One Tree Hill ,"1,706",765,941,"1,219",530,689,13,5,8,168,79,89,306,151,155
             Oxley ,"1,423",630,793,"1,160",504,656,17,4,13,48,21,27,198,101,97
         Rochor ,"15,664","7,912","7,752","11,326","5,487","5,839",532,260,272,"3,323","1,925","1,398",483,240,243
             Bencoolen ,"1,604",750,854,"1,129",510,619,44,20,24,349,180,169,82,40,42
             Farrer Park ,"3,402","1,788","1,614","2,230","1,122","1,108",77,32,45,"1,029",606,423,66,28,38
             Little India ,"4,164","2,142","2,022","3,101","1,516","1,585",47,24,23,975,583,392,41,19,22
             Sungei Road ,"2,500","1,263","1,237","1,762",871,891,297,151,146,396,221,175,45,20,25
             Victoria ,"2,430","1,155","1,275","2,057",972,"1,085",35,12,23,266,138,128,72,33,39
         Sembawang ,"72,732","36,198","36,534","52,379","25,927","26,452","9,957","4,936","5,021","7,035","3,679","3,356","3,361","1,656","1,705"
             Admiralty ,"12,018","5,991","6,027","8,799","4,357","4,442","1,635",815,820,"1,130",578,552,454,241,213
             Sembawang Central ,"30,078","14,973","15,105","21,528","10,648","10,880","4,274","2,131","2,143","2,782","1,453","1,329","1,494",741,753
             Sembawang North ,"25,828","12,835","12,993","18,333","9,079","9,254","3,837","1,891","1,946","2,473","1,290","1,183","1,185",575,610
             Sembawang Springs ,"3,531","1,730","1,801","2,852","1,386","1,466",130,61,69,407,225,182,142,58,84
             Sembawang Straits ,"1,112",575,537,740,388,352,71,33,38,222,119,103,79,35,44
         Sengkang ,"167,054","82,709","84,345","131,925","65,292","66,633","17,087","8,417","8,670","13,849","7,039","6,810","4,193","1,961","2,232"
             Buangkok ,"30,751","15,202","15,549","24,370","12,022","12,348","2,796","1,397","1,399","2,710","1,376","1,334",875,407,468
             Jalan Kayu East ,"12,786","6,319","6,467","10,388","5,155","5,233","1,274",612,662,769,398,371,355,154,201
             Jalan Kayu West ,"1,172",544,628,998,459,539,25,8,17,112,61,51,37,16,21
             Sengkang Town Centre ,"52,148","25,848","26,300","40,543","20,071","20,472","5,289","2,598","2,691","4,843","2,486","2,357","1,473",693,780
             Sungei Serangoon West ,"56,573","28,096","28,477","44,098","21,915","22,183","6,468","3,199","3,269","4,776","2,397","2,379","1,231",585,646
             Trafalgar ,"13,624","6,700","6,924","11,528","5,670","5,858","1,235",603,632,639,321,318,222,106,116
         Serangoon ,"124,782","60,709","64,073","103,695","50,254","53,441","5,777","2,854","2,923","11,735","5,879","5,856","3,575","1,722","1,853"
             Seletar Hills ,"12,114","5,903","6,211","10,536","5,138","5,398",172,83,89,961,476,485,445,206,239
             Serangoon Central ,"53,506","25,953","27,553","45,169","21,831","23,338","2,046",992,"1,054","4,884","2,444","2,440","1,407",686,721
             Serangoon Garden ,"40,467","19,491","20,976","33,496","16,051","17,445","2,022","1,015","1,007","3,711","1,838","1,873","1,238",587,651
             Serangoon North ,"18,695","9,362","9,333","14,494","7,234","7,260","1,537",764,773,"2,179","1,121","1,058",485,243,242
         Singapore River ,"2,000",968,"1,032","1,358",599,759,18,5,13,155,90,65,469,274,195
             Robertson Quay ,"1,696",809,887,"1,170",512,658,18,5,13,102,56,46,406,236,170
         Tampines ,"261,743","128,868","132,875","173,677","85,075","88,602","57,584","28,500","29,084","21,411","11,079","10,332","9,071","4,214","4,857"
             Simei ,"42,860","20,883","21,977","30,885","15,003","15,882","5,854","2,886","2,968","4,150","2,098","2,052","1,971",896,"1,075"
             Tampines East ,"138,807","68,295","70,512","88,568","43,384","45,184","34,460","16,993","17,467","11,111","5,749","5,362","4,668","2,169","2,499"
             Tampines West ,"77,956","38,626","39,330","52,440","25,797","26,643","17,222","8,595","8,627","6,050","3,174","2,876","2,244","1,060","1,184"
             Xilin ,"2,120","1,064","1,056","1,784",891,893,48,26,22,100,58,42,188,89,99
         Tanglin ,"17,293","8,034","9,259","12,910","5,876","7,034",194,89,105,"1,580",768,812,"2,609","1,301","1,308"
             Chatsworth ,"5,027","2,364","2,663","3,557","1,628","1,929",45,19,26,633,309,324,792,408,384
             Nassim ,"7,531","3,430","4,101","5,848","2,605","3,243",87,41,46,537,262,275,"1,059",522,537
             Ridout ,"1,266",604,662,923,436,487,12,8,4,110,49,61,221,111,110
             Tyersall ,"3,469","1,636","1,833","2,582","1,207","1,375",50,21,29,300,148,152,537,260,277
         Toa Payoh ,"124,653","59,924","64,729","101,947","48,825","53,122","9,621","4,685","4,936","9,613","4,898","4,715","3,472","1,516","1,956"
             Boon Teck ,"16,358","7,934","8,424","12,557","6,077","6,480","2,067",994,"1,073","1,347",703,644,387,160,227
             Braddell ,"11,536","5,488","6,048","9,058","4,269","4,789","1,347",649,698,809,423,386,322,147,175
             Kallang ,"8,669","4,231","4,438","7,167","3,491","3,676",786,388,398,547,282,265,169,70,99
             Kim Keat ,"8,985","4,427","4,558","7,362","3,635","3,727",545,278,267,846,422,424,232,92,140
             Marymount ,"13,212","6,083","7,129","11,177","5,105","6,072",575,269,306,875,443,432,585,266,319
             Paya Lebar ,"6,852","3,430","3,422","5,843","2,915","2,928",266,137,129,594,306,288,149,72,77
             Pei Chun ,"12,317","5,970","6,347","10,147","4,900","5,247","1,010",499,511,794,415,379,366,156,210
             Potong Pasir ,"13,319","6,655","6,664","10,711","5,322","5,389",766,397,369,"1,593",823,770,249,113,136
             Sennett ,"4,426","2,119","2,307","4,008","1,915","2,093",59,32,27,244,127,117,115,45,70
             Toa Payoh Central ,"27,168","12,690","14,478","22,317","10,403","11,914","2,194","1,039","1,155","1,846",896,950,811,352,459
             Woodleigh ,"1,801",892,909,"1,596",791,805,6,3,3,112,55,57,87,43,44
         Woodlands ,"245,109","123,661","121,448","149,494","75,088","74,406","62,007","31,287","30,720","27,162","14,229","12,933","6,446","3,057","3,389"
             Midview ,"34,629","17,395","17,234","20,436","10,272","10,164","9,883","4,915","4,968","3,517","1,838","1,679",793,370,423
             North Coast ,"15,271","7,728","7,543","8,797","4,473","4,324","4,277","2,150","2,127","1,942",994,948,255,111,144
             Woodgrove ,"35,508","17,758","17,750","21,941","10,893","11,048","8,901","4,514","4,387","3,693","1,907","1,786",973,444,529
             Woodlands East ,"95,401","48,091","47,310","59,284","29,622","29,662","22,164","11,183","10,981","11,059","5,864","5,195","2,894","1,422","1,472"
             Woodlands South ,"32,698","16,425","16,273","19,934","9,944","9,990","8,448","4,265","4,183","3,459","1,801","1,658",857,415,442
             Woodlands West ,"31,549","16,240","15,309","19,055","9,865","9,190","8,333","4,259","4,074","3,487","1,821","1,666",674,295,379
         Yishun ,"185,214","92,160","93,054","128,979","63,977","65,002","31,104","15,566","15,538","19,730","10,082","9,648","5,401","2,535","2,866"
             Khatib ,"11,639","5,695","5,944","8,613","4,234","4,379","1,517",750,767,"1,177",564,613,332,147,185
             Lower Seletar ,"1,058",514,544,934,454,480,33,14,19,62,29,33,29,17,12
             Northland ,"32,737","16,314","16,423","21,414","10,651","10,763","6,631","3,291","3,340","3,552","1,839","1,713","1,140",533,607
             Springleaf ,"3,570","1,778","1,792","3,261","1,623","1,638",33,13,20,179,97,82,97,45,52
             Yishun Central ,"1,608",806,802,"1,275",628,647,150,78,72,142,79,63,41,21,20
             Yishun East ,"32,933","16,479","16,454","22,247","11,112","11,135","6,188","3,095","3,093","3,503","1,804","1,699",995,468,527
             Yishun South ,"40,551","20,108","20,443","29,325","14,492","14,833","5,651","2,853","2,798","4,459","2,260","2,199","1,116",503,613
             Yishun West ,"60,219","30,052","30,167","41,111","20,417","20,694","10,865","5,457","5,408","6,610","3,385","3,225","1,633",793,840
         Others ,"4,484","2,225","2,259","3,167","1,516","1,651",38,14,24,513,293,220,766,402,364
